epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,445.559,1.74924,0.52023,0.63799,0.2506,0.11492,0.11839,0.06145,1.33975,0.49408,0.29025,0.00333127,0.00333127,0.00333127
2,881.297,1.62503,0.34901,0.33804,0.39662,0.09807,0.09648,0.03833,1.37949,0.40682,0.23002,0.0066642,0.0066642,0.0066642
3,1312.42,1.75207,0.28368,0.34889,0.19997,0.07447,0.04753,0.01403,1.70128,0.2666,0.30499,0.0099955,0.0099955,0.0099955
4,1742.84,1.79072,0.25362,0.35406,0.21868,0.11354,0.07512,0.02709,1.49004,0.35216,0.23409,0.0099945,0.0099945,0.0099945
5,2171.76,1.72462,0.26145,0.30481,0.45825,0.15935,0.1177,0.04506,1.409,0.36844,0.2268,0.00999023,0.00999023,0.00999023
6,2599.71,1.70266,0.26031,0.29243,0.31846,0.17718,0.15456,0.06669,1.33742,0.37363,0.18726,0.00998474,0.00998474,0.00998474
7,3029.53,1.71438,0.25488,0.28853,0.46978,0.16017,0.14496,0.05223,1.54704,0.28596,0.20427,0.00997803,0.00997803,0.00997803
8,3457.63,1.66032,0.26323,0.27561,0.35284,0.20129,0.19848,0.07471,1.34954,0.34587,0.17113,0.00997011,0.00997011,0.00997011
9,3887.24,1.64728,0.26865,0.25962,0.49745,0.19306,0.18586,0.06824,1.39212,0.3301,0.18243,0.00996097,0.00996097,0.00996097
10,4314.7,1.62417,0.27401,0.25665,0.45695,0.21047,0.20355,0.08077,1.31596,0.35844,0.16003,0.00995062,0.00995062,0.00995062
11,4741.48,1.59903,0.27632,0.25603,0.44013,0.19676,0.17965,0.06437,1.32812,0.35929,0.16634,0.00993906,0.00993906,0.00993906
12,5168.21,1.60307,0.27768,0.2415,0.2677,0.16388,0.15319,0.05353,1.40599,0.32713,0.16572,0.00992629,0.00992629,0.00992629
