epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.706,1.61282,2.08934,1.07817,0.28747,0.24064,0.21184,0.11845,1.53996,1.40099,0.99052,0.0033251,0.0033251,0.0033251
2,167.293,1.52994,1.29287,1.01236,0.40065,0.3096,0.29074,0.16188,1.51332,1.21666,0.96957,0.00665803,0.00665803,0.00665803
3,248.737,1.54686,1.22096,1.00745,0.42989,0.30969,0.30614,0.17433,1.49046,1.13853,0.9676,0.00998933,0.00998933,0.00998933
4,329.25,1.52753,1.15332,1.0014,0.44089,0.32302,0.3157,0.17957,1.46635,1.1602,0.96353,0.0099945,0.0099945,0.0099945
5,409.901,1.47905,1.09861,0.987,0.4317,0.34226,0.3258,0.18577,1.45161,1.06848,0.96087,0.00999023,0.00999023,0.00999023
6,488.852,1.4651,1.0517,0.98113,0.47037,0.34274,0.34007,0.19197,1.45866,1.0456,0.96011,0.00998474,0.00998474,0.00998474
7,566.337,1.45223,1.02406,0.97709,0.46014,0.34786,0.34424,0.19778,1.42679,1.03225,0.95275,0.00997803,0.00997803,0.00997803
8,643.97,1.41859,0.98833,0.96933,0.47898,0.3552,0.35592,0.2044,1.41893,0.9882,0.94805,0.00997011,0.00997011,0.00997011
9,722.045,1.40733,0.97052,0.96345,0.4999,0.35366,0.36431,0.20674,1.40829,1.00382,0.95066,0.00996097,0.00996097,0.00996097
10,801.52,1.40587,0.95198,0.96219,0.49578,0.35796,0.37045,0.21498,1.40217,0.9419,0.94239,0.00995062,0.00995062,0.00995062
11,883.824,1.39192,0.93734,0.96088,0.49851,0.37066,0.37511,0.21657,1.38236,0.94404,0.93919,0.00993906,0.00993906,0.00993906
12,965.635,1.3742,0.92269,0.95497,0.50684,0.36691,0.37286,0.2169,1.38329,0.93024,0.93775,0.00992629,0.00992629,0.00992629
13,1048.19,1.38095,0.91774,0.95562,0.52303,0.37146,0.38185,0.22083,1.39918,0.94185,0.94335,0.00991232,0.00991232,0.00991232
14,1131.69,1.37139,0.90514,0.95348,0.52216,0.38156,0.39164,0.23068,1.37371,0.92625,0.93541,0.00989715,0.00989715,0.00989715
15,1211.72,1.35879,0.89496,0.94914,0.507,0.37441,0.38192,0.22184,1.38435,0.92603,0.9352,0.00988079,0.00988079,0.00988079
16,1290.77,1.34821,0.88177,0.94827,0.49048,0.39049,0.38479,0.22149,1.36468,0.90914,0.93366,0.00986323,0.00986323,0.00986323
17,1368.77,1.34675,0.87732,0.94739,0.52534,0.38597,0.3958,0.22994,1.37965,0.8899,0.93475,0.00984449,0.00984449,0.00984449
18,1447.62,1.34516,0.87347,0.94538,0.49689,0.39584,0.39467,0.22816,1.37235,0.89867,0.93453,0.00982456,0.00982456,0.00982456
19,1531.27,1.33937,0.868,0.94344,0.50586,0.39622,0.3975,0.2306,1.37627,0.89324,0.93358,0.00980345,0.00980345,0.00980345
20,1613.63,1.33267,0.85674,0.94231,0.52936,0.39388,0.40351,0.23518,1.37583,0.88825,0.93321,0.00978118,0.00978118,0.00978118
21,1698.54,1.32666,0.8557,0.94011,0.52958,0.39517,0.40869,0.23743,1.38198,0.88124,0.93372,0.00975773,0.00975773,0.00975773
22,1779.82,1.33228,0.85565,0.94097,0.53693,0.38316,0.39736,0.23077,1.36809,0.89893,0.9313,0.00973312,0.00973312,0.00973312
23,1858.31,1.32259,0.84759,0.93838,0.51783,0.39729,0.40517,0.23656,1.36016,0.87561,0.9316,0.00970736,0.00970736,0.00970736
24,1939.51,1.30347,0.8319,0.93563,0.53986,0.40071,0.41185,0.23973,1.35712,0.86468,0.92909,0.00968045,0.00968045,0.00968045
25,2020.74,1.31711,0.83625,0.93766,0.54191,0.39457,0.40524,0.23681,1.3527,0.86789,0.92712,0.00965239,0.00965239,0.00965239
26,2100.93,1.31262,0.83617,0.93583,0.5391,0.39611,0.41067,0.24005,1.34794,0.87386,0.92686,0.0096232,0.0096232,0.0096232
27,2181.66,1.31273,0.8301,0.93667,0.54075,0.4012,0.41332,0.24315,1.35231,0.86549,0.92704,0.00959289,0.00959289,0.00959289
28,2261,1.309,0.82514,0.93286,0.53567,0.39603,0.40841,0.23756,1.36447,0.86521,0.92899,0.00956145,0.00956145,0.00956145
29,2342.37,1.3017,0.82189,0.93222,0.54651,0.40675,0.42147,0.24527,1.3521,0.85565,0.92744,0.00952889,0.00952889,0.00952889
30,2423.31,1.30301,0.82121,0.93388,0.55891,0.403,0.41837,0.24478,1.35305,0.84685,0.92768,0.00949524,0.00949524,0.00949524
31,2502.22,1.29755,0.81547,0.9332,0.5303,0.4126,0.42049,0.24386,1.36787,0.85167,0.93014,0.00946048,0.00946048,0.00946048
32,2583.78,1.28659,0.81032,0.92935,0.5484,0.39929,0.41619,0.24283,1.36317,0.85354,0.92698,0.00942464,0.00942464,0.00942464
33,2661.63,1.29288,0.80873,0.9324,0.54083,0.41061,0.42232,0.24501,1.37317,0.84932,0.92874,0.00938772,0.00938772,0.00938772
34,2742.12,1.28531,0.80601,0.92808,0.55601,0.41058,0.42511,0.2479,1.35726,0.84359,0.92648,0.00934973,0.00934973,0.00934973
35,2818.98,1.28837,0.80343,0.92796,0.54496,0.41463,0.42639,0.24691,1.35942,0.84108,0.92889,0.00931067,0.00931067,0.00931067
36,2897.11,1.27355,0.79346,0.92754,0.55171,0.41206,0.42398,0.24733,1.344,0.83992,0.92484,0.00927057,0.00927057,0.00927057
37,2973.64,1.27928,0.79324,0.92426,0.54108,0.41588,0.42894,0.25098,1.33995,0.83118,0.92422,0.00922942,0.00922942,0.00922942
38,3050.81,1.27432,0.79298,0.92712,0.54014,0.41229,0.4232,0.24728,1.34708,0.83494,0.92457,0.00918725,0.00918725,0.00918725
39,3127.45,1.27802,0.78835,0.92507,0.53538,0.41321,0.41944,0.2454,1.34691,0.84292,0.92498,0.00914405,0.00914405,0.00914405
40,3205.29,1.27665,0.78804,0.92541,0.56803,0.41675,0.43591,0.25512,1.33265,0.8231,0.92303,0.00909984,0.00909984,0.00909984
41,3283.88,1.26586,0.78339,0.92622,0.54897,0.41629,0.42857,0.24998,1.35167,0.82637,0.92451,0.00905463,0.00905463,0.00905463
42,3360.92,1.26885,0.78275,0.92223,0.55104,0.41873,0.42881,0.25113,1.34218,0.82452,0.92414,0.00900844,0.00900844,0.00900844
43,3437.31,1.26849,0.78114,0.92462,0.54652,0.41872,0.42881,0.25245,1.33954,0.82883,0.92362,0.00896127,0.00896127,0.00896127
44,3514.23,1.26516,0.77795,0.92367,0.54649,0.41726,0.42891,0.25074,1.34574,0.82252,0.92304,0.00891313,0.00891313,0.00891313
45,3591.23,1.26672,0.77548,0.92294,0.55857,0.41836,0.4343,0.25322,1.35381,0.82288,0.92391,0.00886404,0.00886404,0.00886404
46,3667.22,1.26482,0.77439,0.9223,0.56486,0.41649,0.43369,0.2551,1.32978,0.81477,0.92127,0.00881401,0.00881401,0.00881401
47,3743.79,1.26084,0.77354,0.92168,0.56461,0.42616,0.43901,0.25707,1.33334,0.81833,0.92271,0.00876305,0.00876305,0.00876305
48,3819.89,1.25366,0.76663,0.91967,0.57549,0.42152,0.44064,0.25729,1.34044,0.81174,0.92124,0.00871117,0.00871117,0.00871117
49,3896.94,1.25179,0.76477,0.92042,0.56479,0.41794,0.43376,0.25468,1.33565,0.81555,0.92132,0.00865839,0.00865839,0.00865839
50,3974.6,1.25651,0.76431,0.91956,0.56173,0.42908,0.44121,0.25678,1.34317,0.8093,0.92283,0.00860473,0.00860473,0.00860473
51,4050.4,1.25222,0.76187,0.91902,0.56832,0.42667,0.44256,0.26031,1.33472,0.80901,0.92096,0.00855018,0.00855018,0.00855018
52,4126.03,1.24667,0.75809,0.92014,0.57228,0.42295,0.43829,0.25745,1.33042,0.81204,0.91941,0.00849477,0.00849477,0.00849477
53,4201.85,1.25246,0.76197,0.91888,0.56676,0.4229,0.43871,0.25781,1.32778,0.80797,0.91831,0.00843851,0.00843851,0.00843851
